Comment,Designator,Footprint,LCSC Part #
 ,D1 J2 Q1 R4,0603,
0.1uF,C1 C2 C5 C6 C7 C8 C9 C10 C11 C12 C13 C16 C17 C18 C19 C22 C23 C24 C27 C29 C31 C32 C33 C34,0603,
1.0uF,C3 C4,0603,
1k,R5 R14 R15 R16,0603,
2.2k,R6 R7 R12 R13,0603,
5.1k,R3 R8,0603,
10k,R11,0603,
10uF,C14 C15 C25 C26 C28 C30,0603,
16.2k,R9,0603,
27,R1 R2,0603,
33pF,C20 C21,0603,
100,R10 R17 R18,0603,
60312202114511,J4 J5,60312202114511,
ADM3260ARSZ,U4,SSOP20,
BME280,U2,PSON65P250X250X100-8N,
LQW18AN2N2D10D,L1,INDC1608X100N,
MIC5504-3.3YM5_TR,U3,SOT95P280X145-5N,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,S1 S2,TACTILE_SWITCH_SMD_4.6X2.8MM,
PH-OEM,U$1 U$2,PH_SENSOR,
RP2040,U1,QFN40P700X700X90-57N,
SFH6325-X017TEL0631,U5,SOIC127P599X175-8N,
TF-123-ARP9HXX,J3,MICROSDCARD,
TPB2 54,TP1,B2 54,
TPB2 54,TP2,B2 54,
TPB2 54,TP3,B2 54,
TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,
W25Q64JVXGIQ,IC1,SON80P400X400X50-9N,
WS2812B-2020,LED1,WS2812B-2020,
